#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,EL)H-1-L0,SIG
#NUCLEUS    H-1
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+07
#E,eV        Sig,b
1.000000000000000082e-05 2.043608000000000047e+01
2.000000000000000164e-05 2.043608000000000047e+01
5.000000000000000240e-05 2.043608000000000047e+01
1.000000000000000048e-04 2.043608000000000047e+01
2.000000000000000096e-04 2.043608000000000047e+01
5.000000000000000104e-04 2.043608000000000047e+01
1.000000000000000021e-03 2.043608000000000047e+01
2.000000000000000042e-03 2.043608000000000047e+01
5.000000000000000104e-03 2.043608000000000047e+01
1.000000000000000021e-02 2.043608000000000047e+01
2.529999999999999957e-02 2.043608000000000047e+01
1.000000000000000056e-01 2.043607000000000085e+01
2.000000000000000111e-01 2.043605000000000160e+01
5.000000000000000000e-01 2.043600999999999956e+01
1.000000000000000000e+00 2.043594999999999828e+01
2.000000000000000000e+00 2.043581000000000003e+01
5.000000000000000000e+00 2.043541000000000096e+01
1.000000000000000000e+01 2.043472999999999828e+01
2.000000000000000000e+01 2.043338999999999928e+01
5.000000000000000000e+01 2.042934999999999945e+01
1.000000000000000000e+02 2.042263000000000162e+01
2.000000000000000000e+02 2.040918999999999883e+01
5.000000000000000000e+02 2.036902999999999864e+01
1.000000000000000000e+03 2.030247999999999919e+01
2.000000000000000000e+03 2.017087000000000074e+01
3.000000000000000000e+03 2.004119999999999990e+01
4.000000000000000000e+03 1.991343000000000174e+01
5.000000000000000000e+03 1.978750000000000142e+01
6.000000000000000000e+03 1.966338999999999970e+01
7.000000000000000000e+03 1.954104999999999848e+01
8.000000000000000000e+03 1.942044999999999888e+01
9.000000000000000000e+03 1.930153999999999925e+01
1.000000000000000000e+04 1.918430000000000035e+01
1.200000000000000000e+04 1.895466000000000051e+01
1.400000000000000000e+04 1.873125999999999891e+01
1.600000000000000000e+04 1.851386000000000109e+01
1.800000000000000000e+04 1.830219999999999914e+01
2.000000000000000000e+04 1.809607000000000099e+01
2.200000000000000000e+04 1.789525000000000077e+01
2.400000000000000000e+04 1.769953999999999894e+01
2.600000000000000000e+04 1.750873999999999953e+01
2.800000000000000000e+04 1.732266999999999868e+01
3.000000000000000000e+04 1.714115999999999929e+01
3.500000000000000000e+04 1.670621999999999829e+01
4.000000000000000000e+04 1.629635000000000034e+01
4.500000000000000000e+04 1.590940999999999939e+01
5.000000000000000000e+04 1.554353000000000051e+01
5.500000000000000000e+04 1.519701000000000057e+01
6.000000000000000000e+04 1.486835999999999913e+01
6.500000000000000000e+04 1.455620000000000047e+01
7.000000000000000000e+04 1.425932000000000066e+01
7.500000000000000000e+04 1.397662000000000049e+01
8.000000000000000000e+04 1.370707999999999949e+01
8.500000000000000000e+04 1.344982000000000077e+01
9.000000000000000000e+04 1.320397999999999961e+01
9.500000000000000000e+04 1.296883000000000052e+01
1.000000000000000000e+05 1.274367999999999945e+01
1.100000000000000000e+05 1.232086999999999932e+01
1.200000000000000000e+05 1.193111000000000033e+01
1.300000000000000000e+05 1.157061000000000028e+01
1.400000000000000000e+05 1.123616999999999955e+01
1.500000000000000000e+05 1.092500000000000071e+01
1.600000000000000000e+05 1.063472999999999935e+01
1.700000000000000000e+05 1.036328999999999922e+01
1.800000000000000000e+05 1.010885999999999996e+01
1.900000000000000000e+05 9.869873000000000118e+00
2.000000000000000000e+05 9.644928999999999419e+00
2.200000000000000000e+05 9.232400999999999414e+00
2.400000000000000000e+05 8.863011000000000195e+00
2.600000000000000000e+05 8.530176000000000869e+00
2.800000000000000000e+05 8.228588999999999487e+00
3.000000000000000000e+05 7.953924999999999912e+00
3.200000000000000000e+05 7.702626999999999668e+00
3.400000000000000000e+05 7.471734999999999793e+00
3.600000000000000000e+05 7.258773999999999837e+00
3.800000000000000000e+05 7.061653999999999876e+00
4.000000000000000000e+05 6.878598000000000212e+00
4.200000000000000000e+05 6.708086999999999911e+00
4.400000000000000000e+05 6.548815000000000275e+00
4.600000000000000000e+05 6.399651000000000423e+00
4.800000000000000000e+05 6.259611999999999732e+00
5.000000000000000000e+05 6.127839999999999954e+00
5.500000000000000000e+05 5.829847000000000001e+00
6.000000000000000000e+05 5.569480999999999682e+00
6.500000000000000000e+05 5.339610999999999663e+00
7.000000000000000000e+05 5.134816999999999965e+00
7.500000000000000000e+05 4.950904000000000416e+00
8.000000000000000000e+05 4.784576000000000384e+00
8.500000000000000000e+05 4.633204000000000100e+00
9.000000000000000000e+05 4.494667999999999886e+00
9.500000000000000000e+05 4.367238000000000397e+00
1.000000000000000000e+06 4.249484999999999957e+00
1.100000000000000000e+06 4.038459999999999717e+00
1.200000000000000000e+06 3.854176999999999964e+00
1.300000000000000000e+06 3.691273999999999944e+00
1.400000000000000000e+06 3.545774999999999899e+00
1.500000000000000000e+06 3.414663000000000004e+00
1.600000000000000000e+06 3.295608999999999789e+00
1.700000000000000000e+06 3.186780999999999864e+00
1.800000000000000000e+06 3.086717000000000155e+00
1.900000000000000000e+06 2.994238000000000177e+00
2.000000000000000000e+06 2.908377000000000212e+00
2.200000000000000000e+06 2.753446999999999978e+00
2.400000000000000000e+06 2.616966000000000125e+00
2.600000000000000000e+06 2.495365000000000055e+00
2.800000000000000000e+06 2.385997999999999841e+00
3.000000000000000000e+06 2.286858000000000057e+00
3.200000000000000000e+06 2.196384000000000114e+00
3.400000000000000000e+06 2.113344000000000111e+00
3.600000000000000000e+06 2.036747999999999781e+00
3.800000000000000000e+06 1.965786000000000033e+00
4.000000000000000000e+06 1.899791999999999925e+00
4.200000000000000000e+06 1.838208000000000064e+00
4.400000000000000000e+06 1.780564999999999953e+00
4.600000000000000000e+06 1.726461000000000023e+00
4.800000000000000000e+06 1.675554999999999906e+00
5.000000000000000000e+06 1.627547000000000077e+00
5.200000000000000000e+06 1.582179999999999920e+00
