LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,EL)H-1-L0,SIG
#NUCLEUS    H-1
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       1159.66      Lin-Lin
 1.10304E-05 1104.18      Lin-Lin
 1.21669E-05 1051.36      Lin-Lin
 1.34206E-05 1001.07      Lin-Lin
 1.48034E-05 953.187      Lin-Lin
 1.63286E-05 907.595      Lin-Lin
 1.80111E-05 864.185      Lin-Lin
 1.98669E-05 822.853      Lin-Lin
 2.19139E-05 783.5        Lin-Lin
 2.41719E-05 746.031      Lin-Lin
 2.66625E-05 710.356      Lin-Lin
 2.94097E-05 676.389      Lin-Lin
 3.244E-05   644.049      Lin-Lin
 3.57825E-05 613.258      Lin-Lin
 3.94694E-05 583.941      Lin-Lin
 4.35362E-05 556.029      Lin-Lin
 4.80221E-05 529.454      Lin-Lin
 5.29701E-05 504.152      Lin-Lin
 5.8428E-05  480.062      Lin-Lin
 6.44482E-05 457.127      Lin-Lin
 7.10888E-05 435.291      Lin-Lin
 7.84136E-05 414.502      Lin-Lin
 8.64931E-05 394.71       Lin-Lin
 9.54051E-05 375.866      Lin-Lin
 0.000105235 357.927      Lin-Lin
 0.000116078 340.849      Lin-Lin
 0.000128039 324.59       Lin-Lin
 0.000141232 309.112      Lin-Lin
 0.000155784 294.377      Lin-Lin
 0.000171835 280.349      Lin-Lin
 0.00018954  266.997      Lin-Lin
 0.00020907  254.286      Lin-Lin
 0.000230612 242.186      Lin-Lin
 0.000254374 230.669      Lin-Lin
 0.000280584 219.707      Lin-Lin
 0.000309494 209.273      Lin-Lin
 0.000341383 199.343      Lin-Lin
 0.000376558 189.891      Lin-Lin
 0.000415358 180.897      Lin-Lin
 0.000458155 172.337      Lin-Lin
 0.000505362 164.191      Lin-Lin
 0.000557433 156.441      Lin-Lin
 0.000614869 149.067      Lin-Lin
 0.000678223 142.051      Lin-Lin
 0.000748105 135.376      Lin-Lin
 0.000825188 129.027      Lin-Lin
 0.000910213 122.988      Lin-Lin
 0.001004    117.245      Lin-Lin
 0.00110745  111.784      Lin-Lin
 0.00122155  106.591      Lin-Lin
 0.00134742  101.655      Lin-Lin
 0.00148625  96.9629      Lin-Lin
 0.00163939  92.5038      Lin-Lin
 0.00180831  88.2668      Lin-Lin
 0.00200871  83.9612      Lin-Lin
 0.0022312   79.889       Lin-Lin
 0.00247845  76.0351      Lin-Lin
 0.00275297  72.3923      Lin-Lin
 0.00305805  68.9472      Lin-Lin
 0.00339677  65.6932      Lin-Lin
 0.0037732   62.6184      Lin-Lin
 0.00419113  59.7169      Lin-Lin
 0.00465558  56.9778      Lin-Lin
 0.00517125  54.3961      Lin-Lin
 0.00574431  51.9619      Lin-Lin
 0.00638057  49.6706      Lin-Lin
 0.00708766  47.5134      Lin-Lin
 0.00787271  45.4862      Lin-Lin
 0.00874515  43.581       Lin-Lin
 0.00971379  41.794       Lin-Lin
 0.0108658   40.0106      Lin-Lin
 0.0121545   38.3484      Lin-Lin
 0.013596    36.8013      Lin-Lin
 0.0152085   35.3637      Lin-Lin
 0.0170122   34.0302      Lin-Lin
 0.0191641   32.7212      Lin-Lin
 0.0215871   31.5182      Lin-Lin
 0.0243176   30.4143      Lin-Lin
 0.0252419   30.0881      Lin-Lin
 0.0253      30.0683      Lin-Lin
 0.0286998   29.0336      Lin-Lin
 0.0325565   28.0955      Lin-Lin
 0.037192    27.2028      Lin-Lin
 0.0424854   26.4036      Lin-Lin
 0.0488745   25.6547      Lin-Lin
 0.0566211   24.9617      Lin-Lin
 0.0660549   24.3284      Lin-Lin
 0.0776004   23.7567      Lin-Lin
 0.0924546   23.2271      Lin-Lin
 0.111701    22.7479      Lin-Lin
 0.136864    22.3235      Lin-Lin
 0.171253    21.9446      Lin-Lin
 0.220371    21.6084      Lin-Lin
 0.293678    21.3157      Lin-Lin
 0.41105     21.0645      Lin-Lin
 0.612785    20.8576      Lin-Lin
 1.0076      20.6923      Lin-Lin
 1.96022     20.5676      Lin-Lin
 5.33729     20.4838      Lin-Lin
 43.3445     20.4366      Lin-Lin
 10372.7     19.1491      Lin-Lin
 19716.6     18.1341      Lin-Lin
 30226.7     17.1266      Lin-Lin
 38355.2     16.4389      Lin-Lin
 47658.6     15.72        Lin-Lin
 57765.5     15.0198      Lin-Lin
 67318.5     14.4249      Lin-Lin
 81700.9     13.6234      Lin-Lin
 97335.2     12.868       Lin-Lin
 113126      12.199       Lin-Lin
 130000      11.5707      Lin-Lin
 145418      11.0732      Lin-Lin
 163402      10.5453      Lin-Lin
 183827      10.0201      Lin-Lin
 204252      9.55722      Lin-Lin
 224678      9.14601      Lin-Lin
 246092      8.76163      Lin-Lin
 267388      8.41877      Lin-Lin
 292019      8.06353      Lin-Lin
 322257      7.67657      Lin-Lin
 354594      7.31633      Lin-Lin
 402822      6.85533      Lin-Lin
 446208      6.50393      Lin-Lin
 493639      6.16975      Lin-Lin
 557760      5.78944      Lin-Lin
 608465      5.53056      Lin-Lin
 663820      5.283        Lin-Lin
 714883      5.08007      Lin-Lin
 771312      4.88001      Lin-Lin
 834340      4.68061      Lin-Lin
 918107      4.44852      Lin-Lin
 1E+06       4.24951      Lin-Lin
 1.11552E+06 4.00986      Lin-Lin
 1.21693E+06 3.8266       Lin-Lin
 1.32764E+06 3.65106      Lin-Lin
 1.42977E+06 3.50675      Lin-Lin
 1.54262E+06 3.36392      Lin-Lin
 1.66868E+06 3.22087      Lin-Lin
 1.83827E+06 3.05132      Lin-Lin
 2E+06       2.90839      Lin-Lin
 2.23104E+06 2.73227      Lin-Lin
 2.43386E+06 2.59638      Lin-Lin
 2.63668E+06 2.47531      Lin-Lin
 2.85953E+06 2.35649      Lin-Lin
 3.06379E+06 2.258        Lin-Lin
 3.29093E+06 2.15863      Lin-Lin
 3.54594E+06 2.05745      Lin-Lin
 3.8808E+06  1.93913      Lin-Lin
 4.2E+06     1.83821      Lin-Lin
 4.63245E+06 1.71844      Lin-Lin
 5.07054E+06 1.61197      Lin-Lin
 5.47618E+06 1.5241       Lin-Lin
 5.88183E+06 1.44508      Lin-Lin
 6.28747E+06 1.37359      Lin-Lin
 6.69311E+06 1.30855      Lin-Lin
 7.09876E+06 1.24923      Lin-Lin
 7.60581E+06 1.18169      Lin-Lin
 8.11287E+06 1.12066      Lin-Lin
 8.61992E+06 1.06522      Lin-Lin
 9.12697E+06 1.01464      Lin-Lin
 9.63403E+06 0.968302     Lin-Lin
 1E+07       0.936877     Lin-Lin
 1.01411E+07 0.925695     Lin-Lin
 1.02842E+07 0.914357     Lin-Lin
 1.04292E+07 0.90286      Lin-Lin
 1.05E+07    0.897253     Lin-Lin
 1.06481E+07 0.886387     Lin-Lin
 1.07984E+07 0.875369     Lin-Lin
 1.09507E+07 0.864195     Lin-Lin
 1.1E+07     0.86058      Lin-Lin
 1.11552E+07 0.850015     Lin-Lin
 1.13126E+07 0.839301     Lin-Lin
 1.14722E+07 0.828436     Lin-Lin
 1.15E+07    0.826541     Lin-Lin
 1.16622E+07 0.816264     Lin-Lin
 1.18268E+07 0.805841     Lin-Lin
 1.19936E+07 0.795272     Lin-Lin
 1.2E+07     0.794868     Lin-Lin
 1.21693E+07 0.784865     Lin-Lin
 1.2341E+07  0.774721     Lin-Lin
 1.25E+07    0.765325     Lin-Lin
 1.26764E+07 0.755585     Lin-Lin
 1.28552E+07 0.745707     Lin-Lin
 1.3E+07     0.737709     Lin-Lin
 1.31834E+07 0.72822      Lin-Lin
 1.33694E+07 0.718597     Lin-Lin
 1.35E+07    0.711841     Lin-Lin
 1.36905E+07 0.702592     Lin-Lin
 1.38836E+07 0.693214     Lin-Lin
 1.4E+07     0.687562     Lin-Lin
 1.41975E+07 0.678807     Lin-Lin
 1.43978E+07 0.669929     Lin-Lin
 1.46009E+07 0.660925     Lin-Lin
 1.48069E+07 0.651794     Lin-Lin
 1.5E+07     0.643236     Lin-Lin
#END
