#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,TOT),SIG
#NUCLEUS    H-1
#MF         3
#MT         1
#E,eV        Sig,b
1.000000000000000082e-05 3.716476999999999720e+01
2.000000000000000164e-05 3.226505000000000223e+01
5.000000000000000240e-05 2.791738000000000142e+01
1.000000000000000048e-04 2.572616000000000014e+01
2.000000000000000096e-04 2.417672999999999917e+01
5.000000000000000104e-04 2.280187000000000097e+01
1.000000000000000021e-03 2.210895000000000010e+01
2.000000000000000042e-03 2.161898000000000053e+01
5.000000000000000104e-03 2.118421000000000021e+01
1.000000000000000021e-02 2.096509000000000000e+01
2.529999999999999957e-02 2.076866000000000057e+01
1.000000000000000056e-01 2.060334999999999894e+01
2.000000000000000111e-01 2.055433999999999983e+01
5.000000000000000000e-01 2.051082999999999856e+01
1.000000000000000000e+00 2.048884999999999934e+01
2.000000000000000000e+00 2.047322000000000131e+01
5.000000000000000000e+00 2.045906000000000091e+01
1.000000000000000000e+01 2.045146000000000086e+01
2.000000000000000000e+01 2.044520999999999944e+01
5.000000000000000000e+01 2.043683000000000050e+01
1.000000000000000000e+02 2.042791000000000068e+01
2.000000000000000000e+02 2.041292999999999935e+01
5.000000000000000000e+02 2.037137999999999849e+01
1.000000000000000000e+03 2.030414000000000030e+01
2.000000000000000000e+03 2.017203999999999908e+01
3.000000000000000000e+03 2.004214999999999947e+01
4.000000000000000000e+03 1.991423999999999950e+01
5.000000000000000000e+03 1.978822999999999865e+01
6.000000000000000000e+03 1.966404999999999959e+01
7.000000000000000000e+03 1.954166000000000025e+01
8.000000000000000000e+03 1.942100999999999900e+01
9.000000000000000000e+03 1.930207000000000050e+01
1.000000000000000000e+04 1.918478999999999957e+01
1.200000000000000000e+04 1.895510000000000161e+01
1.400000000000000000e+04 1.873167000000000115e+01
1.600000000000000000e+04 1.851423000000000130e+01
1.800000000000000000e+04 1.830255000000000010e+01
2.000000000000000000e+04 1.809639999999999915e+01
2.200000000000000000e+04 1.789555999999999969e+01
2.400000000000000000e+04 1.769983999999999824e+01
2.600000000000000000e+04 1.750901999999999958e+01
2.800000000000000000e+04 1.732293999999999912e+01
3.000000000000000000e+04 1.714141000000000048e+01
3.500000000000000000e+04 1.670645000000000024e+01
4.000000000000000000e+04 1.629655999999999949e+01
4.500000000000000000e+04 1.590959999999999930e+01
5.000000000000000000e+04 1.554371000000000080e+01
5.500000000000000000e+04 1.519717999999999947e+01
6.000000000000000000e+04 1.486851000000000056e+01
6.500000000000000000e+04 1.455635000000000012e+01
7.000000000000000000e+04 1.425946000000000069e+01
7.500000000000000000e+04 1.397674999999999912e+01
8.000000000000000000e+04 1.370720999999999989e+01
8.500000000000000000e+04 1.344993000000000016e+01
9.000000000000000000e+04 1.320410000000000039e+01
9.500000000000000000e+04 1.296893999999999991e+01
1.000000000000000000e+05 1.274377999999999922e+01
1.100000000000000000e+05 1.232097000000000087e+01
1.200000000000000000e+05 1.193120000000000047e+01
1.300000000000000000e+05 1.157070000000000043e+01
1.400000000000000000e+05 1.123625000000000007e+01
1.500000000000000000e+05 1.092507999999999946e+01
1.600000000000000000e+05 1.063480999999999987e+01
1.700000000000000000e+05 1.036336000000000013e+01
1.800000000000000000e+05 1.010893000000000086e+01
1.900000000000000000e+05 9.869934999999999903e+00
2.000000000000000000e+05 9.644989000000000701e+00
2.200000000000000000e+05 9.232457000000000136e+00
2.400000000000000000e+05 8.863063999999999609e+00
2.600000000000000000e+05 8.530224999999999724e+00
2.800000000000000000e+05 8.228635999999999839e+00
3.000000000000000000e+05 7.953971000000000124e+00
3.200000000000000000e+05 7.702670000000000350e+00
3.400000000000000000e+05 7.471777000000000335e+00
3.600000000000000000e+05 7.258815000000000239e+00
3.800000000000000000e+05 7.061692999999999998e+00
4.000000000000000000e+05 6.878637000000000334e+00
4.200000000000000000e+05 6.708124999999999893e+00
4.400000000000000000e+05 6.548852000000000118e+00
4.600000000000000000e+05 6.399688000000000265e+00
4.800000000000000000e+05 6.259648000000000323e+00
5.000000000000000000e+05 6.127875000000000405e+00
5.500000000000000000e+05 5.829881999999999564e+00
6.000000000000000000e+05 5.569514999999999993e+00
6.500000000000000000e+05 5.339644999999999975e+00
7.000000000000000000e+05 5.134850000000000136e+00
7.500000000000000000e+05 4.950936999999999699e+00
8.000000000000000000e+05 4.784608999999999668e+00
8.500000000000000000e+05 4.633238000000000412e+00
9.000000000000000000e+05 4.494702000000000197e+00
9.500000000000000000e+05 4.367270999999999681e+00
1.000000000000000000e+06 4.249519000000000268e+00
1.100000000000000000e+06 4.038494000000000028e+00
1.200000000000000000e+06 3.854210999999999832e+00
1.300000000000000000e+06 3.691308999999999951e+00
1.400000000000000000e+06 3.545809999999999906e+00
1.500000000000000000e+06 3.414699000000000151e+00
1.600000000000000000e+06 3.295644999999999936e+00
1.700000000000000000e+06 3.186817000000000011e+00
1.800000000000000000e+06 3.086753999999999998e+00
1.900000000000000000e+06 2.994275000000000020e+00
2.000000000000000000e+06 2.908414000000000055e+00
2.200000000000000000e+06 2.753483999999999821e+00
2.400000000000000000e+06 2.617002999999999968e+00
2.600000000000000000e+06 2.495401999999999898e+00
2.800000000000000000e+06 2.386035000000000128e+00
3.000000000000000000e+06 2.286894999999999900e+00
3.200000000000000000e+06 2.196420999999999957e+00
3.400000000000000000e+06 2.113380999999999954e+00
3.600000000000000000e+06 2.036785000000000068e+00
3.800000000000000000e+06 1.965823000000000098e+00
4.000000000000000000e+06 1.899828000000000072e+00
4.200000000000000000e+06 1.838243999999999989e+00
4.400000000000000000e+06 1.780601000000000100e+00
4.600000000000000000e+06 1.726496999999999948e+00
4.800000000000000000e+06 1.675589999999999913e+00
5.000000000000000000e+06 1.627582000000000084e+00
5.200000000000000000e+06 1.582216000000000067e+00
5.400000000000000000e+06 1.539263000000000048e+00
5.600000000000000000e+06 1.498525000000000107e+00
5.800000000000000000e+06 1.459826000000000068e+00
6.000000000000000000e+06 1.423006999999999911e+00
6.200000000000000000e+06 1.387928999999999968e+00
6.400000000000000000e+06 1.354465999999999948e+00
6.600000000000000000e+06 1.322503999999999902e+00
6.800000000000000000e+06 1.291941999999999924e+00
7.000000000000000000e+06 1.262685999999999975e+00
7.500000000000000000e+06 1.194725000000000037e+00
8.000000000000000000e+06 1.133289999999999909e+00
8.500000000000000000e+06 1.077472999999999903e+00
9.000000000000000000e+06 1.026529000000000025e+00
9.500000000000000000e+06 9.798436999999999841e-01
1.000000000000000000e+07 9.369060999999999639e-01
1.050000000000000000e+07 8.972839000000000231e-01
1.100000000000000000e+07 8.606104999999999450e-01
1.150000000000000000e+07 8.265721999999999792e-01
1.200000000000000000e+07 7.948986999999999581e-01
1.250000000000000000e+07 7.653556999999999721e-01
1.300000000000000000e+07 7.377392999999999867e-01
1.350000000000000000e+07 7.118704000000000143e-01
1.400000000000000000e+07 6.875919000000000336e-01
1.450000000000000000e+07 6.647646000000000388e-01
1.500000000000000000e+07 6.432651000000000341e-01
#END
