#LIBRARY    ENDF/B-VIII.0
#REACTION   O-16(N,TOT),SIG
#NUCLEUS    O-16
#MF         3
#MT         1
#E,eV        Sig,b        Interpolation
 1E-05       54.1555      Lin-Lin
 1.10304E-05 51.5752      Lin-Lin
 1.21669E-05 49.1189      Lin-Lin
 1.34206E-05 46.7807      Lin-Lin
 1.48034E-05 44.5551      Lin-Lin
 1.63286E-05 42.4365      Lin-Lin
 1.80111E-05 40.42        Lin-Lin
 1.98669E-05 38.5008      Lin-Lin
 2.19139E-05 36.6741      Lin-Lin
 2.41719E-05 34.9355      Lin-Lin
 2.66625E-05 33.281       Lin-Lin
 2.94097E-05 31.7066      Lin-Lin
 3.244E-05   30.2083      Lin-Lin
 3.57825E-05 28.7827      Lin-Lin
 3.94694E-05 27.4263      Lin-Lin
 4.35362E-05 26.1359      Lin-Lin
 4.80221E-05 24.9083      Lin-Lin
 5.29701E-05 23.7405      Lin-Lin
 5.8428E-05  22.6299      Lin-Lin
 6.44482E-05 21.5736      Lin-Lin
 7.10888E-05 20.5692      Lin-Lin
 7.84136E-05 19.6143      Lin-Lin
 8.64931E-05 18.7064      Lin-Lin
 9.54051E-05 17.8436      Lin-Lin
 0.000105235 17.0236      Lin-Lin
 0.000116078 16.2445      Lin-Lin
 0.000128039 15.5084      Lin-Lin
 0.000128942 15.4527      Lin-Lin
 0.000141232 14.8085      Lin-Lin
 0.000143224 14.704       Lin-Lin
 0.000155784 14.1433      Lin-Lin
 0.000159096 13.9954      Lin-Lin
 0.000171835 13.5113      Lin-Lin
 0.000176718 13.3258      Lin-Lin
 0.00018954  12.9111      Lin-Lin
 0.000196302 12.6924      Lin-Lin
 0.00020907  12.3412      Lin-Lin
 0.000218044 12.0943      Lin-Lin
 0.000230612 11.8003      Lin-Lin
 0.000242208 11.5291      Lin-Lin
 0.000254374 11.2873      Lin-Lin
 0.000269035 10.9958      Lin-Lin
 0.000280584 10.8009      Lin-Lin
 0.00029885  10.4925      Lin-Lin
 0.000309494 10.3399      Lin-Lin
 0.000331951 10.0181      Lin-Lin
 0.000341383 9.90342      Lin-Lin
 0.000368737 9.57086      Lin-Lin
 0.000376558 9.49026      Lin-Lin
 0.000409579 9.14995      Lin-Lin
 0.000415358 9.0995       Lin-Lin
 0.000454969 8.75372      Lin-Lin
 0.000458155 8.73018      Lin-Lin
 0.000505362 8.38142      Lin-Lin
