"Energy"    "integral_compton"    "Compton ratio"     "μ/ρ"
"{MeV}"    "(1)"                 "(1)"              "(cm2/g)"
0.100    3.9504088710    0.9523924611610344    0.17052354215024373
0.110    3.8615611550    0.9607815398775714    0.1654303972448224
0.120    3.7782300090    0.9671334961721189    0.16113183686406232
0.130    3.6998937560    0.9720062335511521    0.15722591686658194
0.140    3.6260937220    0.9758097254318749    0.1535189109102184
0.150    3.5564251740    0.9788584165865108    0.15032211678365373
0.160    3.4905297620    0.9813231997930785    0.14729685674457457
0.170    3.4280891740    0.9833757805055092    0.14441380881364652
0.180    3.3688197830    0.9850922054391874    0.14166855904064285
0.190    3.3124681260    0.9865112395896375    0.13925393689421062
0.200    3.2588070540    0.9877262135333755    0.13688003439756719
0.210    3.2076324500    0.9888002016257779    0.13464277069134867
0.220    3.1587604240    0.989689959938523    0.13243500978673398
0.230    3.1120248940    0.9904876353461937    0.13042450012190845
0.240    3.0672755070    0.9912039731063433    0.12854229582213422
0.250    3.0243758400    0.9918075430742161    0.1266772115443175
0.260    2.9832018370    0.992375705865463    0.12493186833759301
0.270    2.9436404510    0.9928537258223781    0.12321496556771722
0.280    2.9055884600    0.9933026505517286    0.12150327414139224
0.290    2.8689514260    0.9936925249796996    0.11999553423225626
0.300    2.8336427890    0.9940580241233681    0.11853590286577718
0.310    2.7995830630    0.9943911818470789    0.11708115227557742
0.320    2.7666991320    0.9946783036191518    0.11567739782219785
0.330    2.7349236260    0.9949689904649037    0.11434784087869967
0.340    2.7041943690    0.995207512452586    0.11302498460022425
0.350    2.6744538850    0.9954346836724867    0.11170403599642441
0.360    2.6456489660    0.9956608923527361    0.11048255393111162
0.370    2.6177302820    0.9958452484376628    0.10935794473471376
0.380    2.5906520310    0.9960298584805855    0.10823372425194004
0.390    2.5643716280    0.9962107710489305    0.10711031797382455
0.400    2.5388494290    0.9963542928763897    0.1060117082001541
0.410    2.5140484790    0.9965012384971484    0.10500062568986396
0.420    2.4899342850    0.9966487887949543    0.1039897782355002
0.430    2.4664746130    0.9967721940485083    0.10298172453134659
0.440    2.4436393070    0.996885634791761    0.10197493969484961
0.450    2.4214001210    0.9970010196283964    0.10101742082692966
0.460    2.3997305660    0.9971193558417801    0.10015916327231515
0.470    2.3786057800    0.9972040243378365    0.09930446202176257
0.480    2.3580023970    0.9972887706348225    0.09844989821691286
0.490    2.3378984410    0.9973738230100406    0.0975954496852194
0.500    2.3182732150    0.9974596785776115    0.09674106896992332
0.510    2.2991072170    0.9975472926836645    0.09593379505539922
0.520    2.2803820450    0.9976357302498368    0.09513294971130948
0.530    2.2620803270    0.99770379333301    0.0943341727341005
0.540    2.2441856410    0.9977621606528254    0.0936070172722091
0.550    2.2266824560    0.9978211555414854    0.0928867618612203
0.560    2.2095560690    0.997880360685572    0.0921665721938517
0.570    2.1927925470    0.99793986870285    0.09144644022656115
0.580    2.1763786810    0.9980001447561458    0.09073656627822649
0.590    2.1603019350    0.9980624859557728    0.09009925668035168
0.600    2.1445504030    0.9981254454148597    0.0894619712784281
0.610    2.1291127710    0.9981704304894738    0.08882636576532092
0.620    2.1139782770    0.9982134497724986    0.08819099121501801
0.630    2.0991366790    0.9982566846670966    0.08755565251592602
0.640    2.0845782240    0.9983006232713214    0.08694772595827982
0.650    2.0702936140    0.9983451573134382    0.08634271297347604
0.660    2.0562739840    0.9983888532921035    0.08573782593256662
0.670    2.0425108740    0.9984217247964066    0.08514378840234019
0.680    2.0289962060    0.9984555997285378    0.08459953935649478
0.690    2.0157222600    0.9984896685664412    0.08405531091576295
0.700    2.0026816590    0.9985240647562975    0.08351109223438037
0.710    1.9898673420    0.9985586673353453    0.08296689389695246
0.720    1.9772725560    0.9985936283375544    0.082422703690088
0.730    1.9648908280    0.9986217481146203    0.08188791251703059
0.740    1.9527159620    0.9986482480822816    0.08140826569896878
0.750    1.9407420130    0.998674858773668    0.08092863536328065
0.760    1.9289632800    0.9987017691218723    0.08044900644893457
0.770    1.9173742950    0.9987287639055966    0.07996939662055752
0.780    1.9059698040    0.9987560343421613    0.07948979077948215
0.790    1.8947447610    0.998783510783434    0.07901019483209362
0.800    1.8836943180    0.9988054268120904    0.0785447921322802
0.810    1.8728138120    0.9988256694640336    0.07809002537355311
0.820    1.8620987580    0.9988461298803555    0.07763526012174135
0.830    1.8515448400    0.9988667471195983    0.07718050138301268
0.840    1.8411479010    0.9988874650294983    0.07672575368427487
0.850    1.8309039400    0.998908986807857    0.07631030971441613
0.860    1.8208090990    0.9989306532470528    0.07590125934615055
0.870    1.8108596590    0.9989518421666724    0.0754922628086456
0.880    1.8010520350    0.9989675553788507    0.075083695180355
0.890    1.7913827670    0.9989834213202542    0.07467512898826972
0.900    1.7818485150    0.9989994622493024    0.07426656276499685
0.910    1.7724460550    0.9990155462381918    0.07385800647875652
0.920    1.7631722740    0.9990319281218087    0.07346272177601297
0.930    1.7540241620    0.9990489441112396    0.07310288832136234
0.940    1.7449988120    0.9990660173239797    0.07274306295751459
0.950    1.7360934110    0.999083206829568    0.07238324146631436
0.960    1.7273052390    0.9990968989352904    0.07202368447899432
0.970    1.7186316640    0.999109286751109    0.07166423090076464
0.980    1.7100701400    0.9991217721071615    0.07130477927485432
0.990    1.7016181990    0.9991343304394112    0.07094533145067788
1.000    1.6932734540    0.9991470101283642    0.07058588408895619
1.010    1.6850335900    0.9991599817530717    0.0702455176330341
1.020    1.6768963650    0.9991730312777104    0.06990515456451868
1.030    1.6688596040    0.9991861870738387    0.06956479298761566
1.040    1.6609211990    0.9991992564002823    0.06922444636395611
1.050    1.6530791060    0.9992108435419935    0.06888421082312149
1.060    1.6453313410    0.9992191842339812    0.06854682244445723
1.070    1.6376759770    0.9992272141774843    0.06824165698518506
1.080    1.6301111470    0.9992343985906109    0.06793655391696962
1.090    1.6226350330    0.9992406223905561    0.06763152025309442
1.100    1.6152458750    0.9992457171354799    0.06732656646171044
1.110    1.6079419570    0.9992495838061852    0.06702169814930944
1.120    1.6007216170    0.9992521981054311    0.06671691581310588
1.130    1.5935832350    0.9992534774910139    0.06641222379237371
1.140    1.5865252380    0.999253276591946    0.0661076304829533
1.150    1.5795460960    0.999250801441177    0.06580318681592899
1.160    1.5726443210    0.9992445318574227    0.06551837856811116
1.170    1.5658184650    0.9992369409151726    0.06525131787186443
1.180    1.5590671170    0.9992275441953735    0.06498437055582687
1.190    1.5523889060    0.9992160492360539    0.06471755411818841
1.200    1.5457824960    0.9992033248914616    0.0644508108395334
1.210    1.5392465860    0.9991887162826057    0.06418418180504082
1.220    1.5327799090    0.9991722457135727    0.06391766408446815
1.230    1.5263812290    0.9991533125733792    0.06365129445536298
1.240    1.5200493430    0.9991333306716361    0.063384981264416
1.250    1.5137830790    0.9991103173019018    0.06311884893371109
1.260    1.5075812930    0.9990870021998006    0.06285437563106025
1.270    1.5014428700    0.9990585434925072    0.06260358126732819
1.280    1.4953667230    0.999026817210056    0.06235297655601334
1.290    1.4893517910    0.9989949347720246    0.0621023656345771
1.300    1.4833970390    0.9989603829975836    0.06185190399129948
1.310    1.4775014570    0.9989229334004996    0.06160160372410072
1.320    1.4716640590    0.9988847684564087    0.06135132862515337
1.330    1.4658838830    0.998843387638709    0.06110123112141003
1.340    1.4601599900    0.9988021276054418    0.06086822211548726
1.350    1.4544914620    0.9987592141932369    0.06064452211351988
1.360    1.4488774020    0.9987123449130688    0.06042104221230005
1.370    1.4433169360    0.9986619828247288    0.06019775187457279
1.380    1.4378092070    0.9986115198222223    0.05997444507552669
1.390    1.4323533790    0.9985574805745373    0.05975132969986961
1.400    1.4269486370    0.9985000358826227    0.05952839319855749
1.410    1.4215941800    0.998441494814253    0.059305496166828016
1.420    1.4162892280    0.9983829347008812    0.05908257412261923
1.430    1.4110330180    0.9983204811130146    0.05885985547990086
1.440    1.4058248020    0.9982552604257622    0.05863727150777629
1.450    1.4006638510    0.9981854928386595    0.05841492453726758
1.460    1.3955494480    0.9981179964434433    0.05820983905763142
1.470    1.3904808950    0.998049013341389    0.05801539023775943
1.480    1.3854575080    0.9979776687046603    0.05782105135901731
1.490    1.3804786170    0.9979016335682559    0.057626955558344836
1.500    1.3755435660    0.9978239201259899    0.05743292677721608
