#LIBRARY    JENDL/HE-2007
#REACTION   H-1(N,NON),SIG
#NUCLEUS    H-1
#MF         3
#MT         3
#E,eV        Sig,b        Interpolation
 1E-05       16.6989      Lin-Lin
 1.10304E-05 15.8998      Lin-Lin
 1.21669E-05 15.139       Lin-Lin
 1.34206E-05 14.4146      Lin-Lin
 1.48034E-05 13.7248      Lin-Lin
 1.63286E-05 13.0681      Lin-Lin
 1.80111E-05 12.4428      Lin-Lin
 1.98669E-05 11.8474      Lin-Lin
 2.19139E-05 11.2805      Lin-Lin
 2.41719E-05 10.7407      Lin-Lin
 2.66625E-05 10.2267      Lin-Lin
 2.94097E-05 9.73737      Lin-Lin
 3.244E-05   9.27143      Lin-Lin
 3.57825E-05 8.82778      Lin-Lin
 3.94694E-05 8.40537      Lin-Lin
 4.35362E-05 8.00316      Lin-Lin
 4.80221E-05 7.6202       Lin-Lin
 5.29701E-05 7.25557      Lin-Lin
 5.8428E-05  6.90838      Lin-Lin
 6.44482E-05 6.57781      Lin-Lin
 7.10888E-05 6.26306      Lin-Lin
 7.84136E-05 5.96337      Lin-Lin
 8.64931E-05 5.67801      Lin-Lin
 9.54051E-05 5.40631      Lin-Lin
 0.000105235 5.14762      Lin-Lin
 0.000116078 4.9013       Lin-Lin
 0.000128039 4.66677      Lin-Lin
 0.000141232 4.44346      Lin-Lin
 0.000155784 4.23084      Lin-Lin
 0.000171835 4.02839      Lin-Lin
 0.00018954  3.83562      Lin-Lin
 0.00020907  3.65209      Lin-Lin
 0.000230612 3.47733      Lin-Lin
 0.000254374 3.31094      Lin-Lin
 0.000280584 3.15251      Lin-Lin
 0.000309494 3.00166      Lin-Lin
 0.000341383 2.85802      Lin-Lin
 0.000376558 2.72126      Lin-Lin
 0.000415358 2.59105      Lin-Lin
 0.000458155 2.46707      Lin-Lin
 0.000505362 2.34901      Lin-Lin
 0.000557433 2.23661      Lin-Lin
 0.000614869 2.12959      Lin-Lin
 0.000678223 2.02768      Lin-Lin
 0.000748105 1.93066      Lin-Lin
 0.000825188 1.83827      Lin-Lin
 0.000910213 1.75031      Lin-Lin
 0.001004    1.66656      Lin-Lin
 0.00110745  1.58681      Lin-Lin
 0.00122155  1.51088      Lin-Lin
 0.00134742  1.43858      Lin-Lin
 0.00148625  1.36974      Lin-Lin
 0.00163939  1.3042       Lin-Lin
 0.00180831  1.24179      Lin-Lin
 0.00199463  1.18237      Lin-Lin
 0.00220016  1.12579      Lin-Lin
 0.00242685  1.07192      Lin-Lin
 0.00267691  1.02063      Lin-Lin
 0.00295273  0.971793     Lin-Lin
 0.00325697  0.925291     Lin-Lin
 0.00359256  0.881015     Lin-Lin
 0.00396272  0.838857     Lin-Lin
 0.00437103  0.798717     Lin-Lin
 0.00482141  0.760497     Lin-Lin
 0.00531819  0.724106     Lin-Lin
 0.00586616  0.689456     Lin-Lin
 0.00647059  0.656465     Lin-Lin
 0.0071373   0.625052     Lin-Lin
 0.00787271  0.595142     Lin-Lin
 0.00868389  0.566663     Lin-Lin
 0.00957865  0.539547     Lin-Lin
 0.0105656   0.513729     Lin-Lin
 0.0116543   0.489146     Lin-Lin
 0.0128551   0.465739     Lin-Lin
 0.0141796   0.443452     Lin-Lin
 0.0156406   0.422232     Lin-Lin
 0.0172522   0.402027     Lin-Lin
 0.0190298   0.382789     Lin-Lin
 0.0209906   0.364471     Lin-Lin
 0.0231534   0.34703      Lin-Lin
 0.0252419   0.332363     Lin-Lin
 0.0253      0.331981     Lin-Lin
 0.0279068   0.316095     Lin-Lin
 0.0307823   0.300968     Lin-Lin
 0.033954    0.286566     Lin-Lin
 0.0374525   0.272852     Lin-Lin
 0.0413115   0.259795     Lin-Lin
 0.0455681   0.247362     Lin-Lin
 0.0502633   0.235525     Lin-Lin
 0.0554423   0.224254     Lin-Lin
 0.0611549   0.213522     Lin-Lin
 0.0674561   0.203303     Lin-Lin
 0.0744066   0.193574     Lin-Lin
 0.0820732   0.18431      Lin-Lin
 0.0905297   0.17549      Lin-Lin
 0.0998577   0.167091     Lin-Lin
 0.110147    0.159095     Lin-Lin
 0.121496    0.151481     Lin-Lin
 0.134014    0.144231     Lin-Lin
 0.147823    0.137329     Lin-Lin
 0.163054    0.130756     Lin-Lin
 0.179855    0.124499     Lin-Lin
 0.198386    0.11854      Lin-Lin
 0.218827    0.112867     Lin-Lin
 0.241375    0.107465     Lin-Lin
 0.266245    0.102322     Lin-Lin
 0.293678    0.0974253    Lin-Lin
 0.323938    0.0927627    Lin-Lin
 0.357316    0.0883232    Lin-Lin
 0.394132    0.0840962    Lin-Lin
 0.434743    0.0800715    Lin-Lin
 0.479537    0.0762394    Lin-Lin
 0.528947    0.0725909    Lin-Lin
 0.583448    0.0691171    Lin-Lin
 0.643565    0.0658099    Lin-Lin
 0.709876    0.0626616    Lin-Lin
 0.78302     0.0596649    Lin-Lin
 0.8637      0.0568127    Lin-Lin
 0.952693    0.054098     Lin-Lin
 1.05086     0.0515136    Lin-Lin
 1.15913     0.0490521    Lin-Lin
 1.27857     0.0467071    Lin-Lin
 1.4103      0.0444728    Lin-Lin
 1.55562     0.0423448    Lin-Lin
 1.7159      0.0403189    Lin-Lin
 1.89271     0.03839      Lin-Lin
 2.08772     0.0365535    Lin-Lin
 2.30284     0.0348045    Lin-Lin
 2.54012     0.0331381    Lin-Lin
 2.80184     0.031551     Lin-Lin
 3.09053     0.0300404    Lin-Lin
 3.40897     0.0286031    Lin-Lin
 3.76022     0.0272349    Lin-Lin
 4.14767     0.0259321    Lin-Lin
 4.57503     0.0246919    Lin-Lin
 5.04642     0.0235098    Lin-Lin
 5.56639     0.0223829    Lin-Lin
 6.13994     0.0213111    Lin-Lin
 6.77258     0.0202917    Lin-Lin
